,T117,T120,T18,T221,T258,T34,T46,T47,T69,T94,chain_break_fraction,energy,num_occurrences
0,0,0,0,0,0,0,0,0,0,0,0.0,0.0002634386614903583,32
1,0,0,0,0,0,0,0,0,1,0,0.0,0.003591930818969636,1
2,1,0,0,0,0,0,0,0,0,0,0.0,0.0036012848782296285,12
3,0,0,1,0,0,0,0,0,0,0,0.0,0.0036125247019083784,10
4,0,0,0,1,0,0,0,0,0,0,0.0,0.003612756933650191,6
5,0,0,0,0,0,0,1,0,0,0,0.0,0.0036387155902681528,12
6,0,0,0,0,0,0,0,0,0,1,0.0,0.003683976936154838,7
7,0,0,0,0,1,0,0,0,0,0,0.0,0.0036948478823535394,7
8,0,0,0,0,0,1,0,0,0,0,0.0,0.005105278308123596,2
9,0,0,0,0,0,0,0,1,0,0,0.0,0.005320061703979346,4
10,0,1,0,0,0,0,0,0,0,0,0.0,0.0069039857766268874,3
11,1,0,1,0,0,0,0,0,0,0,0.0,0.013640344460918233,1
12,1,0,0,0,0,0,0,0,0,1,0.0,0.013736182751238961,1
13,1,0,0,0,0,1,0,0,0,0,0.0,0.015307280963623209,1
14,0,0,0,0,0,1,1,0,0,0,0.0,0.015748054707970693,1
