,Unnamed: 0,sample_list,selected_list,selected_num,selected_time,selected_rate,fval,qubit_num,spent_time(s),embedding_time(s),sampling_time(s),timing,problem_id,embedding_context,warnings
0,0,"[267, 49, 118, 279, 58, 195, 20, 142, 6, 286, 161, 220, 156, 157, 35, 31, 222, 262, 143, 166, 204, 147, 179, 248, 125, 238, 258, 110, 260, 22]",[6],1,[92685.55118924507],[0.3805584281282316],0.001022751212293,129,6.237098217010498,6.208856247010498,4.458652019500732,"{'qpu_sampling_time': 12480.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 84.26, 'qpu_access_time': 28241.97, 'qpu_access_overhead_time': 3753.03, 'qpu_programming_time': 15761.97, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 3733.0, 'post_processing_overhead_time': 3733.0}",f1ae3b7e-7cc6-4e86-9e83-eaa8491f51cf,"{'embedding': {'T49': (934, 3647, 3648, 3649), 'T267': (3485, 3484, 574, 573, 3483), 'T118': (3409, 3379, 3709, 917, 918, 919), 'T279': (3423, 977, 873, 872, 3424), 'T58': (3708, 3544, 3543, 739, 738), 'T195': (3468, 949, 948, 3469, 887), 'T20': (826, 3378, 708, 707), 'T142': (888, 3515, 3513, 3514), 'T6': (767, 769, 768), 'T286': (3617, 3454, 618, 617, 3453, 3452), 'T161': (724, 3364, 3363, 722, 723), 'T220': (3349, 813, 812, 811), 'T156': (3542, 663, 3619, 3618), 'T157': (963, 962, 3393, 3394), 'T35': (647, 3634, 3632, 648, 3633), 'T31': (904, 903, 902, 3334), 'T222': (3333, 693, 3408, 692), 'T262': (709, 3739, 3738, 827, 828), 'T143': (633, 632, 3439, 3438), 'T166': (706, 3288, 783, 781, 782), 'T204': (3680, 3678, 3679), 'T147': (3665, 3663, 3664), 'T179': (3650, 1008, 3574, 3572, 3573), 'T248': (3530, 678, 3529, 3528), 'T125': (754, 753, 752), 'T238': (603, 3589, 3588, 3587), 'T258': (3557, 3559, 858, 3558), 'T110': (857, 798, 3499, 797), 'T260': (842, 843, 844, 3694), 'T22': (978, 3603, 933, 3604)}, 'chain_break_method': 'majority_vote', 'embedding_parameters': {}, 'chain_strength': 0.0014312599365901425}","[{'type': <class 'dwave.system.warnings.ChainBreakWarning'>, 'message': 'Lowest-energy samples contain a broken chain', 'level': 40, 'data': {'target_variables': (706, 3288, 783, 781, 782), 'source_variables': ['T166'], 'sample_index': 0}}, {'type': <class 'dwave.system.warnings.ChainBreakWarning'>, 'message': 'Lowest-energy samples contain a broken chain', 'level': 40, 'data': {'target_variables': (842, 843, 844, 3694), 'source_variables': ['T260'], 'sample_index': 0}}]"
1,1,"[261, 59, 180, 201, 89, 225, 162, 107, 73, 163, 42, 209, 269, 263, 7, 276, 193, 178, 120, 75, 72, 148, 5, 280, 194, 8, 158, 199, 70, 62]",[280],1,[5241.880733944954],[0.8440366972477065],0.0004139560256606,124,7.108238697052002,7.079544327052002,4.40243411064148,"{'qpu_sampling_time': 12934.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 88.8, 'qpu_access_time': 28694.37, 'qpu_access_overhead_time': 765.63, 'qpu_programming_time': 15760.37, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 849.0, 'post_processing_overhead_time': 849.0}",00719098-ae58-429a-81b9-a679d3229aaa,"{'embedding': {'T59': (783, 3738, 3737, 3736), 'T261': (738, 739, 3782, 3783), 'T180': (632, 633, 634), 'T201': (333, 3648, 3646, 769, 3647), 'T89': (3843, 707, 708, 709), 'T225': (512, 3858, 513, 514, 3857), 'T162': (3721, 3723, 589, 3722), 'T107': (3528, 3527, 484, 483), 'T73': (3708, 423, 3707), 'T163': (499, 498, 3512, 3513), 'T42': (3693, 438, 3692), 'T209': (3453, 409, 408, 3451, 3452), 'T269': (544, 3498, 3497, 543), 'T263': (3842, 3902, 560, 558, 559), 'T7': (467, 468, 3633, 3632), 'T276': (618, 617, 3558, 3557), 'T193': (647, 649, 648), 'T178': (3586, 3587, 3588, 813), 'T120': (575, 573, 3767, 574), 'T75': (692, 694, 3812, 693, 3813), 'T72': (3664, 3662, 3663), 'T148': (678, 3571, 3573, 588, 3572), 'T5': (3694, 753, 3709, 3797, 754, 3798), 'T280': (3392, 602, 604, 603), 'T194': (768, 453, 3603, 3602), 'T8': (527, 3543, 529, 528, 3542), 'T158': (665, 723, 724, 3873, 725), 'T199': (3679, 3677, 3678), 'T70': (3617, 3616, 798, 3618), 'T62': (662, 663, 3752, 664)}, 'chain_break_method': 'majority_vote', 'embedding_parameters': {}, 'chain_strength': 0.0014390239657829733}","[{'type': <class 'dwave.system.warnings.ChainStrengthWarning'>, 'message': 'Some quadratic biases are stronger than the given chain strength', 'level': 30, 'data': {'source_interactions': [('T193', 'T42')]}}, {'type': <class 'dwave.system.warnings.ChainBreakWarning'>, 'message': 'Lowest-energy samples contain a broken chain', 'level': 40, 'data': {'target_variables': (3842, 3902, 560, 558, 559), 'source_variables': ['T263'], 'sample_index': 0}}, {'type': <class 'dwave.system.warnings.ChainBreakWarning'>, 'message': 'Lowest-energy samples contain a broken chain', 'level': 40, 'data': {'target_variables': (665, 723, 724, 3873, 725), 'source_variables': ['T158'], 'sample_index': 0}}]"
2,2,"[104, 5, 32, 160, 36, 267, 19, 43, 200, 284, 159, 107, 189, 51, 241, 0, 251, 250, 132, 243, 38, 211, 184, 130, 141, 230, 49, 163, 169, 138]",[],0,[],[],5.417267647748521e-05,119,8.634421825408936,8.609764255408935,6.887669801712036,"{'qpu_sampling_time': 8896.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 48.42, 'qpu_access_time': 24657.57, 'qpu_access_overhead_time': 838.43, 'qpu_programming_time': 15761.57, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 423.0, 'post_processing_overhead_time': 423.0}",d7ad6bef-0c3b-463b-8961-48184550df5f,"{'embedding': {'T5': (3492, 2252, 2250, 2251), 'T104': (2192, 2191, 3133, 3132), 'T32': (3072, 2310, 2312, 2311), 'T160': (3251, 3253, 3252), 'T36': (2536, 3162, 3163), 'T267': (2220, 2221, 3357, 2297), 'T19': (2343, 3147, 2342, 2341), 'T43': (3312, 2506, 3313), 'T200': (3266, 3268, 3267), 'T284': (2206, 3177, 3178), 'T159': (3476, 3477, 2402, 2400, 2401), 'T107': (2355, 3102, 2357, 2356), 'T189': (3401, 2371, 2372, 3402), 'T51': (2237, 3342, 2235, 2236), 'T241': (3281, 2491, 3283, 3282), 'T0': (3343, 2521, 3432, 3433, 2522), 'T251': (2416, 3116, 3117, 2415), 'T250': (3297, 2267, 2265, 2266), 'T132': (2280, 2282, 2281), 'T243': (3386, 3387, 2462, 2461), 'T38': (3148, 2431, 3056, 3057, 2430), 'T211': (2566, 3206, 3207, 3208), 'T184': (3446, 2386, 3447, 2387), 'T130': (2552, 2551, 3221, 3222, 3223), 'T141': (2131, 3191, 3192, 3193), 'T230': (3371, 2445, 2446, 3372), 'T49': (2295, 3328, 2296, 3327), 'T163': (3087, 2327, 2325, 2326), 'T169': (2596, 3236, 3237, 3238), 'T138': (3416, 3417, 3358, 2476, 2477)}, 'chain_break_method': 'majority_vote', 'embedding_parameters': {}, 'chain_strength': 0.0014447659057142382}","[{'type': <class 'dwave.system.warnings.ChainBreakWarning'>, 'message': 'Lowest-energy samples contain a broken chain', 'level': 40, 'data': {'target_variables': (2552, 2551, 3221, 3222, 3223), 'source_variables': ['T130'], 'sample_index': 0}}]"
3,3,"[257, 168, 200, 253, 273, 255, 227, 126, 266, 53, 132, 232, 146, 141, 245, 129, 187, 65, 163, 72, 87, 250, 82, 43, 34, 212, 41, 211, 261, 64]",[],0,[],[],0.0007774662709829,122,6.841510772705078,6.816528402705078,5.014640808105469,"{'qpu_sampling_time': 9220.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 51.66, 'qpu_access_time': 24982.37, 'qpu_access_overhead_time': 1402.63, 'qpu_programming_time': 15762.37, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 1999.0, 'post_processing_overhead_time': 1999.0}",61678f26-84a6-4aa0-a21a-ec46d7b415e1,"{'embedding': {'T168': (2176, 2177, 3401, 3402), 'T257': (2477, 2476, 3191, 3192), 'T200': (2207, 3132, 2205, 2206), 'T253': (2522, 3341, 3342, 3343), 'T273': (2997, 2310, 2312, 2311), 'T255': (2266, 3268, 3266, 3267), 'T227': (2237, 3416, 2446, 2447, 3417), 'T126': (2537, 3358, 3356, 3357), 'T266': (2041, 3220, 3222, 3221), 'T53': (3298, 2401, 3296, 3297), 'T132': (3101, 2236, 3147, 2235), 'T232': (3311, 3313, 3312), 'T146': (3071, 3072, 2415, 2417, 2416), 'T141': (2982, 2327, 2326, 2325), 'T245': (2432, 3056, 2431, 2430, 3057), 'T129': (2221, 3387, 3386), 'T187': (3447, 2130, 3446, 2131, 2132), 'T65': (2340, 3102, 2342, 2341), 'T163': (3326, 3328, 3327), 'T72': (3117, 2357, 2355, 2356), 'T87': (3253, 3252, 3251, 2071), 'T250': (3162, 2250, 2252, 2251), 'T82': (2282, 2280, 2281), 'T43': (2462, 2461, 3206, 3207), 'T34': (2147, 2146, 3236, 3237), 'T212': (2297, 2296, 2295), 'T41': (3178, 2192, 3177, 2190, 2191), 'T211': (2371, 3281, 3283, 2372, 3282), 'T261': (3133, 3148, 3432, 2386, 2387), 'T64': (3370, 3372, 2162, 3371)}, 'chain_break_method': 'majority_vote', 'embedding_parameters': {}, 'chain_strength': 0.0014512139753372316}","[{'type': <class 'dwave.system.warnings.ChainBreakWarning'>, 'message': 'Lowest-energy samples contain a broken chain', 'level': 40, 'data': {'target_variables': (2041, 3220, 3222, 3221), 'source_variables': ['T266'], 'sample_index': 0}}]"
4,4,"[270, 61, 233, 73, 68, 265, 71, 278, 211, 92, 266, 103, 104, 218, 210, 251, 65, 215, 246, 180, 150, 247, 273, 67, 191, 107, 237, 216, 41, 153]",[],0,[],[],2.67661583253032e-05,130,8.167825698852539,8.14113452885254,6.287890911102295,"{'qpu_sampling_time': 10930.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 68.76, 'qpu_access_time': 26691.17, 'qpu_access_overhead_time': 1321.83, 'qpu_programming_time': 15761.17, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 1924.0, 'post_processing_overhead_time': 1924.0}",505c010b-76c0-46b8-8f5c-ab24c536cc73,"{'embedding': {'T61': (3384, 3382, 3383), 'T270': (1563, 1802, 3533, 3534, 1803), 'T233': (1937, 3397, 3398, 1862, 3399), 'T73': (3653, 3489, 1786, 3654, 1787, 1788), 'T68': (1621, 1624, 1623, 1622), 'T265': (1922, 3414, 3412, 3413), 'T71': (3188, 1741, 1743, 1742), 'T278': (1652, 3353, 3354), 'T211': (1907, 3564, 1516, 1517, 3563, 3562), 'T92': (1487, 3519, 3518, 1488), 'T266': (3203, 1756, 1758, 1757), 'T103': (1681, 1906, 3369, 3367, 3368), 'T104': (3459, 3458, 3488, 1561, 1562), 'T218': (1772, 3340, 3338, 3339), 'T210': (1818, 1817, 3308, 3309), 'T251': (3158, 1593, 1591, 1592), 'T65': (1501, 1653, 3548, 1502, 3547), 'T215': (1832, 3294, 3292, 3293), 'T246': (1847, 3277, 1876, 3278, 3279), 'T180': (3638, 3639, 1728, 1726, 1727), 'T150': (1412, 3429, 3428, 3427), 'T247': (3264, 3263, 1546, 1548, 1547), 'T273': (3474, 3473, 1531, 1532), 'T67': (1472, 3504, 3503, 1473), 'T191': (3624, 1636, 3623, 1638, 1637), 'T107': (3608, 1668, 3324, 1667), 'T237': (3593, 1606, 1608, 1607), 'T216': (3218, 1697, 1696), 'T41': (3232, 3233, 1712, 1711), 'T153': (1682, 3444, 1577, 3443)}, 'chain_break_method': 'majority_vote', 'embedding_parameters': {}, 'chain_strength': 0.001413531932855879}","[{'type': <class 'dwave.system.warnings.ChainBreakWarning'>, 'message': 'Lowest-energy samples contain a broken chain', 'level': 40, 'data': {'target_variables': (3638, 3639, 1728, 1726, 1727), 'source_variables': ['T180'], 'sample_index': 0}}]"
5,5,"[268, 115, 185, 187, 82, 209, 45, 257, 175, 232, 52, 57, 58, 161, 144, 225, 50, 55, 5, 104, 283, 47, 119, 117, 76, 109, 259, 208, 275, 33]",[175],1,[226665.04119850183],[0.8426966292134831],0.0005602116079488,129,6.177488565444946,6.1481985954449465,4.210726261138916,"{'qpu_sampling_time': 13530.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 94.76, 'qpu_access_time': 29289.97, 'qpu_access_overhead_time': 62745.03, 'qpu_programming_time': 15759.97, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 278.0, 'post_processing_overhead_time': 278.0}",79e2469e-915b-4c53-ae48-1fa4490feb9c,"{'embedding': {'T115': (3286, 347, 345, 346), 'T268': (377, 3256, 375, 376), 'T185': (315, 3436, 316, 317), 'T187': (2926, 392, 390, 391), 'T82': (362, 361, 360), 'T209': (3001, 212, 211, 210, 3000), 'T45': (3197, 450, 3195, 3196), 'T257': (3360, 435, 3361, 436), 'T175': (420, 421, 3346, 3347), 'T232': (270, 3045, 271, 3047, 3046), 'T52': (3390, 495, 3391, 496, 497), 'T57': (3272, 451, 526, 2971, 525, 2972), 'T58': (300, 3120, 3122, 3121), 'T161': (480, 481, 3316, 3317), 'T144': (226, 227, 3016, 225, 3015), 'T225': (3092, 3090, 3091), 'T50': (151, 3032, 150, 3031, 3030), 'T55': (3332, 255, 256, 3331), 'T5': (3211, 330, 332, 331), 'T104': (3167, 3166, 3165, 105), 'T283': (181, 3225, 180, 3226), 'T47': (3152, 3150, 285, 3151), 'T119': (302, 3271, 195, 196, 3210, 301), 'T117': (541, 3137, 3135, 3136), 'T76': (3182, 240, 3180, 465, 3181), 'T109': (3376, 405, 407, 406), 'T259': (135, 3062, 3061, 3060), 'T208': (120, 3077, 3076, 3075), 'T275': (3227, 510, 3301, 511, 3302), 'T33': (3107, 165, 3105, 3106)}, 'chain_break_method': 'majority_vote', 'embedding_parameters': {}, 'chain_strength': 0.0014988241393977}",[]
6,6,"[139, 264, 111, 92, 87, 135, 11, 37, 195, 183, 217, 260, 261, 40, 116, 282, 21, 51, 20, 177, 212, 130, 18, 253, 161, 215, 158, 194, 59, 180]",[],0,[],[],0.0001153786631713,123,6.605438232421875,6.573545462421875,4.821460485458374,"{'qpu_sampling_time': 16130.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 120.76, 'qpu_access_time': 31892.77, 'qpu_access_overhead_time': 1284.23, 'qpu_programming_time': 15762.77, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 266.0, 'post_processing_overhead_time': 266.0}",e8fd8bcb-905e-4f70-9228-fecfd5794420,"{'embedding': {'T264': (4473, 696, 697, 698), 'T139': (4413, 831, 832, 4414), 'T111': (547, 4277, 4279, 4278), 'T92': (4578, 711, 712, 713), 'T87': (4142, 4143, 876, 877, 4144), 'T135': (4307, 4309, 4308), 'T11': (532, 4264, 4262, 4263), 'T37': (4112, 847, 846, 4113), 'T195': (4637, 4548, 636, 637, 638), 'T183': (4353, 681, 683, 682), 'T217': (729, 728, 727, 726), 'T260': (668, 756, 4503, 758, 757), 'T261': (667, 4128, 4127, 4068, 666), 'T40': (908, 907, 4204, 4203), 'T116': (922, 4172, 4173, 4174), 'T282': (4337, 4338, 952, 4339), 'T21': (923, 4398, 862, 4399), 'T51': (591, 4488, 4487, 592, 593), 'T20': (937, 4220, 4218, 861, 4219), 'T177': (4294, 4292, 4293), 'T212': (577, 4234, 4233), 'T130': (891, 892, 4383, 4384), 'T18': (4157, 802, 801, 4158), 'T253': (4368, 4442, 651, 652), 'T161': (742, 4322, 4324, 4323), 'T215': (4563, 606, 608, 607), 'T158': (772, 4248, 4249), 'T194': (773, 4369, 816, 4457, 817, 4458), 'T59': (4428, 621, 622), 'T180': (787, 4187, 4188, 786)}, 'chain_break_method': 'majority_vote', 'embedding_parameters': {}, 'chain_strength': 0.0015050512056684103}","[{'type': <class 'dwave.system.warnings.ChainBreakWarning'>, 'message': 'Lowest-energy samples contain a broken chain', 'level': 40, 'data': {'target_variables': (4637, 4548, 636, 637, 638), 'source_variables': ['T195'], 'sample_index': 0}}]"
7,7,"[157, 195, 59, 94, 74, 148, 0, 7, 173, 104, 222, 1, 116, 123, 102, 210, 95, 276, 60, 129, 253, 4, 258, 205, 266, 125, 223, 220, 184, 238]",[],0,[],[],0.0001036630413853,129,8.159519910812378,8.130658340812378,5.196499586105347,"{'qpu_sampling_time': 13100.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 90.46, 'qpu_access_time': 28861.57, 'qpu_access_overhead_time': 1090.43, 'qpu_programming_time': 15761.57, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 705.0, 'post_processing_overhead_time': 705.0}",6dd1c85f-4581-46ec-90ad-2947ded72758,"{'embedding': {'T195': (4487, 535, 533, 534), 'T157': (4816, 638, 639, 4817), 'T59': (4787, 443, 4742, 444), 'T94': (699, 4713, 4711, 4712), 'T74': (340, 339, 4652, 4651), 'T148': (4832, 520, 518, 519), 'T0': (4563, 459, 4562, 458), 'T7': (4681, 4683, 594, 4682), 'T173': (383, 4501, 624, 4502, 623), 'T104': (654, 4471, 4472, 653), 'T222': (698, 4533, 4531, 579, 4532), 'T1': (4547, 472, 474, 473), 'T116': (369, 4623, 4622, 4621), 'T123': (4413, 683, 4668, 4666, 684, 4667), 'T102': (398, 399, 4757, 400), 'T210': (4442, 563, 565, 564), 'T95': (294, 293, 4635, 4637, 4636), 'T276': (4608, 4606, 4607), 'T60': (4578, 415, 4577, 413, 414), 'T129': (580, 4771, 4772, 729, 730, 4773), 'T253': (595, 353, 354, 4727, 4726), 'T4': (4802, 4801, 384, 385), 'T258': (609, 4516, 4517, 608), 'T205': (550, 548, 549), 'T266': (4591, 4593, 4592), 'T125': (4698, 309, 4697, 4696), 'T223': (4788, 670, 4456, 4457, 668, 669), 'T220': (4427, 427, 428, 429, 4546), 'T184': (4877, 505, 503, 504), 'T238': (4412, 490, 488, 489)}, 'chain_break_method': 'majority_vote', 'embedding_parameters': {}, 'chain_strength': 0.0014401242051628059}","[{'type': <class 'dwave.system.warnings.ChainBreakWarning'>, 'message': 'Lowest-energy samples contain a broken chain', 'level': 40, 'data': {'target_variables': (294, 293, 4635, 4637, 4636), 'source_variables': ['T95'], 'sample_index': 0}}]"
8,8,"[208, 232, 28, 269, 204, 159, 197, 45, 276, 253, 70, 109, 3, 194, 126, 176, 193, 42, 189, 121, 165, 241, 149, 51, 129, 217, 209, 104, 61, 183]",[],0,[],[],0.0001183151105409,126,8.101811170578003,8.074749600578002,6.126978635787964,"{'qpu_sampling_time': 11302.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 72.48, 'qpu_access_time': 27061.57, 'qpu_access_overhead_time': 1303.43, 'qpu_programming_time': 15759.57, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 1896.0, 'post_processing_overhead_time': 1896.0}",7213eff0-0ae2-455f-97b1-de7c82b4bd0c,"{'embedding': {'T232': (1470, 1472, 1471), 'T208': (1515, 3126, 3127, 3128), 'T28': (3157, 1606, 1605, 3158), 'T269': (3038, 1350, 3037, 3036), 'T204': (1231, 1230, 3008, 3007, 3006), 'T159': (1487, 1485, 1486), 'T197': (1680, 3066, 3068, 3067), 'T45': (1620, 3427, 1621, 1622, 3428), 'T276': (3081, 3338, 3337, 1321, 1320), 'T253': (1305, 2992, 1636, 1635, 2993), 'T70': (3098, 3096, 3097), 'T109': (1425, 1426, 3442, 1427), 'T3': (3201, 3203, 1545, 3202), 'T194': (1591, 3082, 3083, 1590), 'T126': (1260, 1261, 3261, 3263, 3262), 'T176': (3111, 3113, 3112), 'T193': (3216, 1500, 3218, 3217, 1501), 'T42': (3293, 3292, 1412, 1410, 1411), 'T189': (1380, 1381, 1351, 3278, 3277), 'T121': (1245, 3053, 3052, 3051), 'T165': (1440, 1441, 3382, 1442), 'T241': (1170, 3141, 3143, 3142), 'T149': (3171, 1335, 3173, 3172), 'T51': (3308, 1395, 1396, 3307), 'T129': (3232, 1575, 1577, 1576), 'T217': (3188, 3187, 1365, 3186), 'T209': (2978, 1291, 1290, 2977), 'T104': (3023, 1276, 1275, 3021, 3022), 'T61': (1457, 1455, 3247, 1456), 'T183': (1516, 3322, 1560, 1561, 3323)}, 'chain_break_method': 'majority_vote', 'embedding_parameters': {}, 'chain_strength': 0.0014440379633949222}","[{'type': <class 'dwave.system.warnings.ChainBreakWarning'>, 'message': 'Lowest-energy samples contain a broken chain', 'level': 40, 'data': {'target_variables': (1425, 1426, 3442, 1427), 'source_variables': ['T109'], 'sample_index': 0}}]"
9,9,"[199, 215, 92, 263, 186, 197, 94, 274, 42, 85, 40, 111, 195, 272, 267, 209, 122, 241, 240, 56, 264, 172, 116, 262, 78, 231, 219, 187, 32, 151]",[],0,[],[],1.0098450710672682e-05,119,6.530143022537232,6.505143452537232,4.737075090408325,"{'qpu_sampling_time': 9240.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 51.86, 'qpu_access_time': 24999.57, 'qpu_access_overhead_time': 2237.43, 'qpu_programming_time': 15759.57, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 793.0, 'post_processing_overhead_time': 793.0}",6c4acab6-3d6f-4157-bf8d-446ce17f616a,"{'embedding': {'T215': (2148, 3612, 3610, 3611), 'T199': (3702, 3703, 2208, 2209), 'T92': (2387, 2389, 2388), 'T263': (3523, 3522, 3521, 2013), 'T186': (2372, 2374, 2373), 'T197': (2282, 2284, 3627, 2283), 'T94': (3747, 2222, 3746, 2223), 'T274': (2403, 3402, 2402), 'T42': (3417, 2253, 2252, 3416), 'T85': (3538, 2163, 3537, 3536), 'T40': (2312, 3777, 2313, 2314), 'T111': (2133, 3552, 3550, 3551), 'T195': (2042, 2043, 3642, 3641, 3640), 'T272': (3718, 3717, 3716, 2072, 2073), 'T267': (1998, 3477, 3476, 3475), 'T209': (3582, 3580, 3581), 'T122': (2193, 3688, 3687, 2194), 'T241': (3673, 2057, 3672, 3671, 2058), 'T240': (3762, 2344, 2342, 2343), 'T56': (3387, 2416, 2418, 2417), 'T264': (2117, 2118, 3657, 3656), 'T172': (2103, 3567, 3565, 3566), 'T116': (2269, 2268, 3432, 2267), 'T262': (3447, 2297, 2298, 2299, 3792), 'T78': (2357, 2358, 3807, 2359), 'T231': (2028, 3460, 3462, 3461), 'T219': (3597, 3595, 3596), 'T187': (3731, 3732, 2237, 2238), 'T32': (3372, 2327, 2329, 2328), 'T151': (2178, 3493, 3492, 3491)}, 'chain_break_method': 'majority_vote', 'embedding_parameters': {}, 'chain_strength': 0.0014326107404164334}","[{'type': <class 'dwave.system.warnings.ChainBreakWarning'>, 'message': 'Lowest-energy samples contain a broken chain', 'level': 40, 'data': {'target_variables': (3387, 2416, 2418, 2417), 'source_variables': ['T56'], 'sample_index': 0}}]"
