,T1040,T110,T1370,T1372,T1629,T460,T639,T750,T782,T8,chain_break_fraction,energy,num_occurrences
0,0,0,0,0,1,0,0,0,0,0,0.0,0.01832002020426384,49
1,0,0,0,1,0,0,0,0,0,0,0.0,0.02208688465525891,18
2,0,0,0,1,1,0,0,0,0,0,0.0,0.023631684183456264,5
3,0,0,0,0,0,0,0,0,1,0,0.0,0.025284548193704626,3
4,0,0,1,0,1,0,0,0,0,0,0.0,0.026133998272726274,2
5,0,0,1,0,0,0,0,0,0,0,0.0,0.026245844098481068,1
6,0,0,0,0,1,0,1,0,0,0,0.0,0.026788531683319107,3
7,0,0,0,0,0,0,0,0,0,1,0.0,0.026891579584202983,1
8,1,0,0,0,1,0,0,0,0,0,0.0,0.027126602193786174,2
9,0,0,0,0,0,0,0,0,0,0,0.0,0.027451759962090556,1
10,0,0,0,0,0,0,1,0,0,0,0.0,0.02770351524868705,2
11,0,1,0,0,1,0,0,0,0,0,0.0,0.027755903796015717,1
12,1,0,0,0,0,0,0,0,0,0,0.0,0.028138801785819796,3
13,0,0,1,1,0,0,0,0,0,0,0.0,0.028450641574241854,1
14,0,1,0,0,0,0,0,0,0,0,0.0,0.02922826286167485,2
15,0,0,0,0,0,1,0,0,0,0,0.0,0.029290154570514097,1
16,1,0,0,1,0,0,0,0,0,0,0.0,0.029967574052380628,1
17,0,1,0,1,0,0,0,0,0,0,0.0,0.03085219523115808,2
18,0,0,0,1,0,1,0,0,0,0,0.0,0.030902873660162027,1
19,0,0,1,1,0,0,0,0,0,0,0.1,0.028450641574241854,1
