,Unnamed: 0,sample_list,selected_list,selected_num,selected_time,selected_rate,fval,qubit_num,spent_time(s),embedding_time(s),sampling_time(s),timing,problem_id,embedding_context,warnings
0,0,"[624, 229, 820, 983, 876, 412, 62, 735, 776, 278, 1122, 1088, 875, 648, 1166, 625, 593, 864, 1388, 952]","[1122, 875]",2,"[104723.0, 56640.0]","[0.75, 0.7]",0.0316954629987333,57,6.0304882526397705,6.003245882639771,3.2160134315490723,"{'qpu_sampling_time': 11482.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 74.28, 'qpu_access_time': 27242.37, 'qpu_access_overhead_time': 1128.63, 'qpu_programming_time': 15760.37, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 235.0, 'post_processing_overhead_time': 235.0}",e7fb6b3e-47e5-4426-823e-325dbcc6131b,"{'embedding': {'T229': (2517, 2516), 'T624': (2621, 5143, 5144), 'T820': (2471, 2472, 5233), 'T983': (2411, 5023, 5022), 'T876': (5038, 2426, 5037), 'T412': (5187, 2562, 5188), 'T62': (5173, 2397, 5172), 'T735': (5053, 2591), 'T776': (2382, 5098, 5097), 'T278': (4993, 2532, 2531), 'T1122': (2727, 5158, 5159), 'T1088': (2636, 5083, 5084), 'T875': (5068, 2606), 'T648': (5248, 2456, 5263, 2457), 'T1166': (4903, 2577, 5008, 2576), 'T625': (2547, 4978, 2546), 'T593': (2502, 2501), 'T864': (5129, 2486, 5128), 'T1388': (2441, 4963, 2440), 'T952': (5114, 5113)}, 'chain_break_method': 'majority_vote', 'embedding_parameters': {}, 'chain_strength': 0.003887814650614594}","[{'type': <class 'dwave.system.warnings.ChainStrengthWarning'>, 'message': 'Some quadratic biases are stronger than the given chain strength', 'level': 30, 'data': {'source_interactions': [('T1122', 'T983'), ('T1088', 'T983'), ('T1088', 'T1122'), ('T1166', 'T983'), ('T1166', 'T1122'), ('T1166', 'T1088')]}}, {'type': <class 'dwave.system.warnings.ChainBreakWarning'>, 'message': 'Lowest-energy samples contain a broken chain', 'level': 40, 'data': {'target_variables': (4903, 2577, 5008, 2576), 'source_variables': ['T1166'], 'sample_index': 0}}]"
1,1,"[676, 12, 594, 440, 1154, 737, 1662, 1088, 701, 1248, 380, 1055, 13, 1539, 111, 978, 1016, 1580, 381, 741]","[111, 1154, 1662, 978]",4,"[54984.0, 101976.0, 168640.0, 119431.0]","[0.7727272727272727, 0.7333333333333333, 1.0, 0.9142857142857144]",0.0345129404189077,53,5.596028089523315,5.567341319523315,3.059953212738037,"{'qpu_sampling_time': 12928.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 88.74, 'qpu_access_time': 28686.77, 'qpu_access_overhead_time': 1283.23, 'qpu_programming_time': 15758.77, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 251.0, 'post_processing_overhead_time': 251.0}",cb6b1b32-1069-4e1d-a1ab-a7fb2e2367a3,"{'embedding': {'T12': (3661, 213, 214), 'T676': (3601, 3600), 'T594': (3331, 332, 333), 'T440': (3436, 273, 272), 'T1154': (3346, 348, 347), 'T737': (3511, 258, 257), 'T1662': (3556, 153, 3555), 'T1088': (3676, 242, 243), 'T701': (183, 3451, 3450), 'T1248': (317, 318), 'T380': (438, 3585, 3586), 'T1055': (168, 3541, 3540), 'T13': (3481, 378), 'T1539': (228, 3496), 'T111': (3616, 3615), 'T978': (3646, 287, 288), 'T1016': (302, 303), 'T1580': (393, 3465, 3466), 'T381': (363, 3526), 'T741': (198, 3571, 3570)}, 'chain_break_method': 'majority_vote', 'embedding_parameters': {}, 'chain_strength': 0.0031524535984017556}","[{'type': <class 'dwave.system.warnings.ChainStrengthWarning'>, 'message': 'Some quadratic biases are stronger than the given chain strength', 'level': 30, 'data': {'source_interactions': [('T978', 'T1662'), ('T1580', 'T1539')]}}]"
2,2,"[1400, 1642, 1262, 1626, 1029, 1113, 149, 1606, 833, 1298, 1660, 1373, 1444, 1396, 1505, 1175, 1223, 938, 998, 756]","[1298, 1444, 1606, 1660]",4,"[73068.0, 55580.0, 108582.0, 657202.0]","[0.8333333333333334, 0.6363636363636364, 0.7857142857142857, 1.0]",0.0447268909809312,56,5.441294193267822,5.412679823267823,3.475118398666382,"{'qpu_sampling_time': 12856.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 88.02, 'qpu_access_time': 28614.37, 'qpu_access_overhead_time': 2918.63, 'qpu_programming_time': 15758.37, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 3680.0, 'post_processing_overhead_time': 3680.0}",1bd9ba8f-0b87-498e-9ec2-0dff4b062977,"{'embedding': {'T1642': (4976, 4975), 'T1400': (4961, 4960), 'T1262': (4930, 2021, 4931), 'T1626': (4855, 1900, 4854), 'T1029': (1870, 1869), 'T1113': (4809, 1946, 1945), 'T149': (1915, 4750, 1914), 'T1606': (5004, 5005, 2095), 'T833': (4914, 2006, 4915), 'T1298': (4989, 4990, 2080), 'T1660': (4839, 1931, 1930), 'T1373': (4734, 1856, 1855), 'T1444': (4795, 1990, 1991), 'T1396': (4899, 2036, 4900), 'T1505': (4824, 1841, 1840), 'T1175': (1976, 4780, 1975), 'T1223': (4945, 2186, 4946), 'T938': (1884, 1885), 'T998': (4884, 4885, 2050), 'T756': (4869, 2065, 4870)}, 'chain_break_method': 'majority_vote', 'embedding_parameters': {}, 'chain_strength': 0.003331862596495205}","[{'type': <class 'dwave.system.warnings.ChainStrengthWarning'>, 'message': 'Some quadratic biases are stronger than the given chain strength', 'level': 30, 'data': {'source_interactions': [('T1626', 'T1642'), ('T1660', 'T1642'), ('T1660', 'T1626'), ('T1505', 'T1660')]}}, {'type': <class 'dwave.system.warnings.ChainBreakWarning'>, 'message': 'Lowest-energy samples contain a broken chain', 'level': 40, 'data': {'target_variables': (4839, 1931, 1930), 'source_variables': ['T1660'], 'sample_index': 0}}]"
3,3,"[459, 441, 381, 275, 364, 101, 1135, 1090, 1031, 330, 1007, 30, 270, 1493, 36, 840, 1571, 1443, 743, 1352]","[1135, 1443, 364]",3,"[102897.0, 71155.0, 56776.0]","[0.75, 0.7, 1.0]",0.0249732588936834,55,5.375369548797607,5.351501978797607,3.4205307960510254,"{'qpu_sampling_time': 8108.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 40.54, 'qpu_access_time': 23867.57, 'qpu_access_overhead_time': 998.43, 'qpu_programming_time': 15759.57, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 219.0, 'post_processing_overhead_time': 219.0}",eeaa8417-7434-4db5-b401-3abe598de2f0,"{'embedding': {'T441': (2506, 2505), 'T459': (2610, 3043), 'T381': (2430, 2371, 3208, 3207), 'T275': (2685, 3133, 3134), 'T364': (3223, 2595, 2596), 'T101': (3088, 2566, 2565), 'T1135': (3118, 3119), 'T1090': (2445, 2520, 3073), 'T1031': (3028, 2656, 2655), 'T330': (3148, 2670, 3149), 'T1007': (2701, 3178, 3179), 'T30': (2716, 3163, 3164), 'T270': (3103, 3104), 'T1493': (3283, 3329, 2580, 2581), 'T36': (2625, 3058), 'T840': (2550, 3238, 2551), 'T1571': (2490, 2491), 'T1443': (3013, 2641, 2640), 'T743': (3193, 2521), 'T1352': (2535, 3253, 2536)}, 'chain_break_method': 'majority_vote', 'embedding_parameters': {}, 'chain_strength': 0.0029843292605363806}","[{'type': <class 'dwave.system.warnings.ChainStrengthWarning'>, 'message': 'Some quadratic biases are stronger than the given chain strength', 'level': 30, 'data': {'source_interactions': [('T1571', 'T364'), ('T1571', 'T1493')]}}, {'type': <class 'dwave.system.warnings.ChainBreakWarning'>, 'message': 'Lowest-energy samples contain a broken chain', 'level': 40, 'data': {'target_variables': (3283, 3329, 2580, 2581), 'source_variables': ['T1493'], 'sample_index': 0}}]"
4,4,"[601, 1107, 388, 1051, 746, 107, 248, 796, 993, 865, 1640, 157, 536, 985, 1076, 1332, 259, 1104, 1434, 1030]","[1640, 248, 985]",3,"[613325.0, 54924.0, 183494.0]","[1.0, 1.0, 1.0]",0.030360509021677,55,5.442334413528442,5.4169080435284425,3.6793041229248047,"{'qpu_sampling_time': 9666.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 56.12, 'qpu_access_time': 25426.37, 'qpu_access_overhead_time': 600.63, 'qpu_programming_time': 15760.37, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 200.0, 'post_processing_overhead_time': 200.0}",bf398364-6ded-47b2-beca-d58060d03f11,"{'embedding': {'T1107': (3836, 2254, 3837), 'T601': (3926, 2224), 'T388': (3656, 2194, 2195), 'T1051': (3792, 2089, 3791), 'T746': (3971, 2134, 2135), 'T107': (3986, 2209, 2210), 'T248': (2299, 3941, 2300), 'T796': (2074, 3822, 3821), 'T993': (3882, 3881, 2044), 'T865': (2119, 3867, 3866), 'T1640': (3760, 3761), 'T157': (2269, 3852, 3851), 'T536': (3805, 2104, 3807, 3806), 'T985': (3897, 2059, 3896), 'T1076': (3956, 2149, 2150), 'T1332': (2179, 2180), 'T259': (3775, 3776), 'T1104': (2239, 3911), 'T1434': (3746, 2284, 2285), 'T1030': (2164, 2165)}, 'chain_break_method': 'majority_vote', 'embedding_parameters': {}, 'chain_strength': 0.0030809706092913744}","[{'type': <class 'dwave.system.warnings.ChainStrengthWarning'>, 'message': 'Some quadratic biases are stronger than the given chain strength', 'level': 30, 'data': {'source_interactions': [('T1640', 'T248'), ('T985', 'T248'), ('T985', 'T1640'), ('T1104', 'T1640')]}}]"
5,5,"[1059, 280, 789, 985, 2, 518, 255, 439, 5, 787, 751, 1317, 403, 1185, 0, 224, 666, 638, 1161, 69]","[1161, 518, 985]",3,"[103574.0, 58668.0, 183494.0]","[0.7368421052631579, 0.6666666666666666, 1.0]",0.0258821015597815,56,5.590344429016113,5.563720859016113,3.4712114334106445,"{'qpu_sampling_time': 10864.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 68.1, 'qpu_access_time': 26623.57, 'qpu_access_overhead_time': 1738.43, 'qpu_programming_time': 15759.57, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 3679.0, 'post_processing_overhead_time': 3679.0}",a475f584-3904-4f74-8147-8ff4c0fec15a,"{'embedding': {'T280': (1174, 3802, 3801), 'T1059': (3622, 1354, 1353), 'T789': (3607, 1369, 1368), 'T985': (1428, 1429), 'T2': (3712, 1204, 3711), 'T518': (3770, 1504, 3772, 3771), 'T255': (1519, 3786, 3787), 'T439': (3816, 3817), 'T5': (3831, 3832), 'T787': (1310, 1309, 3667), 'T751': (3727, 3726, 1249), 'T1317': (3532, 1384, 1383), 'T403': (1414, 1413), 'T1185': (1219, 3847, 3846), 'T0': (3757, 3756, 1234), 'T224': (3682, 1295, 1294), 'T666': (3861, 1339, 3862), 'T638': (3652, 1460, 1459), 'T1161': (3697, 1399), 'T69': (1445, 3637, 1444)}, 'chain_break_method': 'majority_vote', 'embedding_parameters': {}, 'chain_strength': 0.003244114097816425}","[{'type': <class 'dwave.system.warnings.ChainStrengthWarning'>, 'message': 'Some quadratic biases are stronger than the given chain strength', 'level': 30, 'data': {'source_interactions': [('T518', 'T985'), ('T1185', 'T985'), ('T1161', 'T985')]}}]"
6,6,"[858, 192, 78, 1215, 1208, 1037, 1271, 1264, 244, 1480, 27, 162, 90, 336, 1123, 438, 424, 527, 1233, 216]","[1233, 192, 858]",3,"[107516.0, 70975.0, 57146.0]","[1.0, 0.8, 0.6428571428571429]",0.029414024669721,58,5.935173749923706,5.910679779923706,3.168948173522949,"{'qpu_sampling_time': 8736.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 46.82, 'qpu_access_time': 24493.97, 'qpu_access_overhead_time': 883.03, 'qpu_programming_time': 15757.97, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 501.0, 'post_processing_overhead_time': 501.0}",738a6778-7e16-4bcb-b6dd-024c5dac6285,"{'embedding': {'T192': (3401, 2223, 2222), 'T858': (3642, 3641), 'T78': (2164, 2163, 2162), 'T1215': (3626, 2103), 'T1208': (3356, 2148, 2147), 'T1037': (2298, 3550, 3551), 'T1271': (2073, 3461, 2072), 'T1264': (2252, 2253, 3595, 3596), 'T244': (2133, 2132, 3416), 'T1480': (2179, 2178, 2177), 'T27': (2283, 3581, 3580), 'T162': (2359, 3686, 3687), 'T90': (3657, 3656), 'T336': (3671, 2344, 3672), 'T1123': (3536, 3537, 2328), 'T438': (2194, 3476, 2193), 'T424': (3522, 2118, 3521), 'T527': (2088, 3612, 3611), 'T1233': (3446, 2238, 2237), 'T216': (2209, 3566, 2208)}, 'chain_break_method': 'majority_vote', 'embedding_parameters': {}, 'chain_strength': 0.0030118546604676806}","[{'type': <class 'dwave.system.warnings.ChainStrengthWarning'>, 'message': 'Some quadratic biases are stronger than the given chain strength', 'level': 30, 'data': {'source_interactions': [('T1233', 'T192')]}}]"
7,7,"[1586, 619, 1390, 751, 840, 627, 317, 1636, 963, 1599, 1642, 983, 671, 177, 207, 710, 1110, 899, 675, 1536]","[1586, 177, 983]",3,"[601580.0, 76261.0, 110340.0]","[1.0, 0.8, 0.6923076923076923]",0.0337223297317509,56,5.593637704849243,5.566105334849243,3.837780714035034,"{'qpu_sampling_time': 11774.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 77.2, 'qpu_access_time': 27532.37, 'qpu_access_overhead_time': 2297.63, 'qpu_programming_time': 15758.37, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 254.0, 'post_processing_overhead_time': 254.0}",361f844c-0f6f-40de-a292-95d97434b846,"{'embedding': {'T619': (4969, 4968), 'T1586': (625, 4924, 4923), 'T1390': (715, 716), 'T751': (790, 791, 5073), 'T840': (5028, 745, 746), 'T627': (655, 4983, 4982), 'T317': (4939, 581, 4938), 'T1636': (835, 4847, 4848), 'T963': (820, 4832, 4833), 'T1599': (775, 776, 5043), 'T1642': (805, 4863), 'T983': (701, 4818, 700), 'T671': (4773, 686, 685), 'T177': (4997, 851, 4998), 'T207': (850, 911, 4908, 4909), 'T710': (4878, 640), 'T1110': (4954, 4953), 'T899': (671, 670, 4788), 'T675': (4893, 760, 761), 'T1536': (5058, 730, 731)}, 'chain_break_method': 'majority_vote', 'embedding_parameters': {}, 'chain_strength': 0.003164367712551525}","[{'type': <class 'dwave.system.warnings.ChainStrengthWarning'>, 'message': 'Some quadratic biases are stronger than the given chain strength', 'level': 30, 'data': {'source_interactions': [('T1636', 'T1586'), ('T1599', 'T1586'), ('T1642', 'T1586'), ('T1642', 'T1636'), ('T177', 'T1586')]}}]"
8,8,"[1207, 1385, 440, 1232, 951, 1497, 12, 516, 938, 841, 419, 243, 1028, 813, 810, 348, 1020, 1412, 1292, 1157]","[1020, 1232, 1292, 951]",4,"[70137.0, 111052.0, 58163.0, 107798.0]","[1.0, 1.0, 0.8571428571428571, 1.0]",0.0359705002743971,55,6.097384691238403,6.070475521238404,3.752527475357056,"{'qpu_sampling_time': 11150.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 70.96, 'qpu_access_time': 26909.17, 'qpu_access_overhead_time': 2453.83, 'qpu_programming_time': 15759.17, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 389.0, 'post_processing_overhead_time': 389.0}",575733c2-0b0e-4ad1-95e2-0e936e8498cb,"{'embedding': {'T1385': (2048, 4526, 4525), 'T1207': (2063, 4511, 4510), 'T440': (2078, 4495), 'T1232': (2169, 4615, 4616), 'T951': (4601, 1913, 4600), 'T1497': (4435, 2004, 2003), 'T12': (1988, 4690, 1989), 'T516': (4465, 2124, 2123), 'T938': (2138, 4585, 4586), 'T841': (2093, 4630), 'T419': (1958, 1959), 'T243': (1943, 1868, 4480, 4479), 'T1028': (1898, 4645, 4644), 'T813': (4675, 2018, 2019), 'T810': (4555, 4556), 'T348': (4540, 4541), 'T1020': (2108, 4660, 2109), 'T1412': (2033, 4705, 2034), 'T1292': (1928, 4571, 4570), 'T1157': (1974, 1973)}, 'chain_break_method': 'majority_vote', 'embedding_parameters': {}, 'chain_strength': 0.0031873770898646217}","[{'type': <class 'dwave.system.warnings.ChainStrengthWarning'>, 'message': 'Some quadratic biases are stronger than the given chain strength', 'level': 30, 'data': {'source_interactions': [('T951', 'T1232'), ('T1020', 'T1232'), ('T1020', 'T951')]}}]"
9,9,"[279, 335, 181, 425, 53, 837, 1238, 1602, 783, 774, 1061, 455, 1584, 1448, 875, 1240, 474, 93, 737, 1513]","[1238, 1240, 1584, 1602]",4,"[105329.0, 109448.0, 607708.0, 58383.0]","[1.0, 1.0, 1.0, 1.0]",0.0349142563806963,58,5.42181396484375,5.39086439484375,3.6584668159484863,"{'qpu_sampling_time': 15190.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 111.36, 'qpu_access_time': 30949.57, 'qpu_access_overhead_time': 1520.43, 'qpu_programming_time': 15759.57, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 453.0, 'post_processing_overhead_time': 453.0}",e94a0b07-24ad-4512-b689-686b93605650,"{'embedding': {'T335': (3919, 1026, 1025), 'T279': (3949, 891, 890), 'T181': (3904, 876, 875), 'T425': (906, 4129), 'T53': (815, 3995, 3994), 'T837': (966, 965, 964), 'T1238': (4145, 921, 4144), 'T1602': (981, 980, 979), 'T783': (3890, 1011, 1009, 1010), 'T774': (3814, 951, 950), 'T1061': (4098, 4099), 'T455': (996, 3934, 995), 'T1584': (756, 4070, 4069), 'T1448': (800, 4025, 4024), 'T875': (3875, 1041, 1040), 'T1240': (4010, 830, 4009), 'T474': (4055, 771, 4054), 'T93': (741, 4040, 4039, 4038), 'T737': (4114, 936), 'T1513': (4083, 4084)}, 'chain_break_method': 'majority_vote', 'embedding_parameters': {}, 'chain_strength': 0.0032150745760759457}","[{'type': <class 'dwave.system.warnings.ChainStrengthWarning'>, 'message': 'Some quadratic biases are stronger than the given chain strength', 'level': 30, 'data': {'source_interactions': [('T1602', 'T1238'), ('T1584', 'T1238'), ('T1584', 'T1602'), ('T1240', 'T1238'), ('T1240', 'T1602'), ('T1240', 'T1584'), ('T1513', 'T1584')]}}]"
