,T13,T16,T17,T2,T26,T29,T51,T54,T59,T69,chain_break_fraction,energy,num_occurrences
0,0,0,0,0,0,0,0,0,0,0,0.0,0.0137519569137204,13
1,0,0,0,0,0,0,0,0,0,1,0.0,0.014129725211420805,14
2,0,0,0,0,1,0,0,0,0,0,0.0,0.014717123797781843,17
3,0,0,0,0,0,0,0,0,1,0,0.0,0.014806055372497925,5
4,1,0,0,0,0,0,0,0,0,0,0.0,0.014846417894495426,15
5,0,0,0,0,0,0,0,1,0,0,0.0,0.01486482369955232,16
6,0,0,0,0,0,0,1,0,0,0,0.0,0.016956285325184093,2
7,0,0,0,0,0,1,0,0,0,0,0.0,0.016966162708824867,2
8,0,0,1,0,0,0,0,0,0,0,0.0,0.01748900899711546,2
9,0,1,0,0,0,0,0,0,0,0,0.0,0.017833256810086323,3
10,0,0,0,1,0,0,0,0,0,0,0.0,0.019154472525679186,2
11,0,1,0,0,0,0,0,0,0,0,0.1,0.017833256810086323,1
12,0,0,0,0,0,0,0,0,1,1,0.0,0.022384236849709457,1
13,0,0,0,0,1,0,0,0,0,1,0.1,0.02368070136997477,1
14,0,0,0,0,0,0,0,1,1,0,0.0,0.022958762089575036,1
15,1,0,0,0,0,0,0,1,0,0,0.0,0.023082454248224724,2
16,1,1,0,0,0,0,0,0,0,0,0.0,0.02741751388850665,1
17,0,0,1,0,1,0,0,0,0,0,0.1,0.030973138076043336,1
18,0,0,0,0,1,0,0,1,0,0,0.1,0.023815737042786667,1
