,Unnamed: 0,sample_list,selected_list,selected_num,selected_time,selected_rate,fval,qubit_num,spent_time(s),embedding_time(s),sampling_time(s),timing,problem_id,embedding_context,warnings
0,0,"[44, 56, 86, 30, 18, 67, 80, 48, 31, 50]",[80],1,[29406.0],[0.7043010752688172],0.0244783306018924,16,5.075319051742554,5.047199081742554,0.0862009525299072,"{'qpu_sampling_time': 12360.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 83.06, 'qpu_access_time': 28119.97, 'qpu_access_overhead_time': 1367.03, 'qpu_programming_time': 15759.97, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 189.0, 'post_processing_overhead_time': 189.0}",0c42722d-c89c-4813-8d20-67620cd3d13f,"{'embedding': {'T56': (5315,), 'T44': (1017,), 'T86': (987, 5194), 'T30': (1033, 5344), 'T18': (972, 5209), 'T67': (5285, 958), 'T80': (5300, 943), 'T48': (5330,), 'T31': (1048, 5359), 'T50': (1002,)}, 'chain_break_method': 'majority_vote', 'embedding_parameters': {}, 'chain_strength': 0.007897423740877218}","[{'type': <class 'dwave.system.warnings.ChainStrengthWarning'>, 'message': 'Some quadratic biases are stronger than the given chain strength', 'level': 30, 'data': {'source_interactions': [('T30', 'T86'), ('T80', 'T86'), ('T80', 'T30'), ('T31', 'T30')]}}]"
1,1,"[87, 59, 62, 88, 73, 55, 44, 35, 51, 3]",[62],1,[54721.0],[1.0],0.0142887281714569,18,3.2178280353546143,3.1924624653546143,0.0755369663238525,"{'qpu_sampling_time': 9606.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 55.52, 'qpu_access_time': 25365.57, 'qpu_access_overhead_time': 1266.43, 'qpu_programming_time': 15759.57, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 2011.0, 'post_processing_overhead_time': 2011.0}",eea907fb-ae57-43ae-9627-f65f9a7392bc,"{'embedding': {'T59': (1229, 5511), 'T87': (5661, 1199), 'T62': (5601, 1289), 'T88': (1214, 5496), 'T73': (1244,), 'T55': (1259,), 'T44': (1304, 5586), 'T35': (1349, 5616), 'T51': (1334, 5631), 'T3': (5570, 5571)}, 'chain_break_method': 'majority_vote', 'embedding_parameters': {}, 'chain_strength': 0.010240720059433656}","[{'type': <class 'dwave.system.warnings.ChainStrengthWarning'>, 'message': 'Some quadratic biases are stronger than the given chain strength', 'level': 30, 'data': {'source_interactions': [('T62', 'T87'), ('T88', 'T87'), ('T88', 'T62'), ('T73', 'T87'), ('T73', 'T62'), ('T73', 'T88'), ('T55', 'T87'), ('T55', 'T62'), ('T55', 'T88'), ('T51', 'T62'), ('T51', 'T88'), ('T3', 'T87'), ('T3', 'T62'), ('T3', 'T88')]}}]"
2,2,"[60, 12, 7, 16, 46, 2, 30, 54, 21, 80]",[80],1,[29406.0],[0.7043010752688172],0.0176923647597018,17,4.529063940048218,4.502495170048218,0.0756528377532959,"{'qpu_sampling_time': 10808.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 67.54, 'qpu_access_time': 26568.77, 'qpu_access_overhead_time': 2716.23, 'qpu_programming_time': 15760.77, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 1872.0, 'post_processing_overhead_time': 1872.0}",7557e301-45d2-402c-9f02-99afea11428a,"{'embedding': {'T12': (4731, 1194), 'T60': (4761,), 'T7': (1269, 1270, 4611), 'T16': (1224,), 'T46': (4716, 1285), 'T2': (1209,), 'T30': (4746,), 'T54': (1254, 4686), 'T21': (1179, 4701), 'T80': (1239, 4596)}, 'chain_break_method': 'majority_vote', 'embedding_parameters': {}, 'chain_strength': 0.007727852946020775}","[{'type': <class 'dwave.system.warnings.ChainStrengthWarning'>, 'message': 'Some quadratic biases are stronger than the given chain strength', 'level': 30, 'data': {'source_interactions': [('T30', 'T12'), ('T30', 'T7'), ('T30', 'T16'), ('T21', 'T30'), ('T80', 'T12'), ('T80', 'T30')]}}]"
3,3,"[62, 55, 18, 8, 79, 68, 16, 42, 13, 77]",[62],1,[54721.0],[1.0],0.02413357919673,18,3.984396934509277,3.959196964509277,0.0889089107513427,"{'qpu_sampling_time': 9440.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 53.86, 'qpu_access_time': 25199.97, 'qpu_access_overhead_time': 2952.03, 'qpu_programming_time': 15759.97, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 983.0, 'post_processing_overhead_time': 983.0}",d1ec0ffe-7f25-4934-914b-43a8e9247a3b,"{'embedding': {'T55': (2300, 3956), 'T62': (4106, 2255), 'T18': (4047, 2315), 'T8': (4032, 2330), 'T79': (2240,), 'T68': (3986, 3987), 'T16': (2285, 3941), 'T42': (3971, 3972), 'T13': (2225,), 'T77': (4091, 2270)}, 'chain_break_method': 'majority_vote', 'embedding_parameters': {}, 'chain_strength': 0.009394575227186907}","[{'type': <class 'dwave.system.warnings.ChainStrengthWarning'>, 'message': 'Some quadratic biases are stronger than the given chain strength', 'level': 30, 'data': {'source_interactions': [('T55', 'T62'), ('T8', 'T62'), ('T68', 'T62'), ('T68', 'T55'), ('T16', 'T62'), ('T16', 'T55'), ('T16', 'T68'), ('T42', 'T62'), ('T77', 'T62')]}}]"
4,4,"[45, 44, 68, 81, 39, 51, 29, 23, 71, 22]",[],0,[],[],0.0100717334850005,16,3.2118818759918213,3.1860815059918215,0.0824840068817138,"{'qpu_sampling_time': 10040.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 59.86, 'qpu_access_time': 25800.37, 'qpu_access_overhead_time': 2689.63, 'qpu_programming_time': 15760.37, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 3493.0, 'post_processing_overhead_time': 3493.0}",fbc4e6b3-9f75-4d1a-8e51-4c19692fb1c6,"{'embedding': {'T44': (2369, 5457), 'T45': (5577, 2474), 'T68': (2384,), 'T81': (2354, 5442), 'T39': (2399,), 'T51': (2339, 5592), 'T29': (5607, 2324), 'T23': (5562, 2489), 'T71': (5532,), 'T22': (5547,)}, 'chain_break_method': 'majority_vote', 'embedding_parameters': {}, 'chain_strength': 0.01020138200169645}","[{'type': <class 'dwave.system.warnings.ChainStrengthWarning'>, 'message': 'Some quadratic biases are stronger than the given chain strength', 'level': 30, 'data': {'source_interactions': [('T51', 'T68'), ('T29', 'T68'), ('T29', 'T81'), ('T29', 'T51'), ('T71', 'T68'), ('T71', 'T51'), ('T71', 'T29'), ('T22', 'T68'), ('T22', 'T81'), ('T22', 'T51'), ('T22', 'T29'), ('T22', 'T71')]}}]"
5,5,"[33, 81, 69, 22, 88, 14, 37, 42, 62, 57]",[62],1,[54721.0],[1.0],0.013921649104372,16,3.271996259689331,3.245428689689331,0.0836062431335449,"{'qpu_sampling_time': 10808.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 67.54, 'qpu_access_time': 26567.57, 'qpu_access_overhead_time': 2230.43, 'qpu_programming_time': 15759.57, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 2004.0, 'post_processing_overhead_time': 2004.0}",b71a2a31-eea6-46ab-91b3-4c954ac28025,"{'embedding': {'T81': (4762,), 'T33': (4747,), 'T69': (1450, 4717), 'T22': (1434,), 'T88': (4732, 1465), 'T14': (4702, 1359), 'T37': (1419,), 'T42': (4597, 1404), 'T62': (4612, 1389), 'T57': (1374, 4687)}, 'chain_break_method': 'majority_vote', 'embedding_parameters': {}, 'chain_strength': 0.009615941769383367}","[{'type': <class 'dwave.system.warnings.ChainStrengthWarning'>, 'message': 'Some quadratic biases are stronger than the given chain strength', 'level': 30, 'data': {'source_interactions': [('T88', 'T33'), ('T88', 'T22'), ('T14', 'T22'), ('T14', 'T88'), ('T62', 'T33'), ('T62', 'T22'), ('T62', 'T88'), ('T62', 'T14'), ('T57', 'T88'), ('T57', 'T14'), ('T57', 'T62')]}}]"
6,6,"[69, 40, 16, 38, 11, 45, 0, 71, 22, 5]",[11],1,[8620.0],[0.3005464480874317],0.0123497081337087,17,3.611025094985962,3.5845775249859617,0.0763430595397949,"{'qpu_sampling_time': 10688.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 66.34, 'qpu_access_time': 26447.57, 'qpu_access_overhead_time': 2473.43, 'qpu_programming_time': 15759.57, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 1926.0, 'post_processing_overhead_time': 1926.0}",6d484d52-10b1-469d-8e50-bcc80e4375d6,"{'embedding': {'T40': (5635,), 'T69': (5650, 1919), 'T16': (1934, 5665), 'T38': (5605, 1904), 'T11': (5590, 2069), 'T45': (2054, 5560, 5559), 'T0': (5620,), 'T71': (1964,), 'T22': (1979,), 'T5': (1949, 5515)}, 'chain_break_method': 'majority_vote', 'embedding_parameters': {}, 'chain_strength': 0.010484659638569071}","[{'type': <class 'dwave.system.warnings.ChainStrengthWarning'>, 'message': 'Some quadratic biases are stronger than the given chain strength', 'level': 30, 'data': {'source_interactions': [('T16', 'T40'), ('T38', 'T40'), ('T38', 'T16'), ('T0', 'T40'), ('T0', 'T16'), ('T0', 'T38'), ('T71', 'T40'), ('T71', 'T16'), ('T71', 'T38'), ('T71', 'T0'), ('T22', 'T40'), ('T22', 'T16'), ('T22', 'T38'), ('T22', 'T0'), ('T22', 'T71')]}}]"
7,7,"[41, 56, 53, 46, 79, 39, 77, 42, 58, 9]",[77],1,[15493.0],[0.7272727272727273],0.0117201886342288,16,6.406235933303833,6.376187963303833,0.0891718864440918,"{'qpu_sampling_time': 14288.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 102.34, 'qpu_access_time': 30047.97, 'qpu_access_overhead_time': 853.03, 'qpu_programming_time': 15759.97, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 1901.0, 'post_processing_overhead_time': 1901.0}",5cba4875-2f92-402c-9943-f1dcc382a7cb,"{'embedding': {'T56': (1520,), 'T41': (4073,), 'T53': (1505,), 'T46': (4058,), 'T79': (1535, 4102), 'T39': (1550, 4087), 'T77': (1641, 4043), 'T42': (1491, 3997), 'T58': (4028, 1626), 'T9': (1476, 4012)}, 'chain_break_method': 'majority_vote', 'embedding_parameters': {}, 'chain_strength': 0.008984986635163218}","[{'type': <class 'dwave.system.warnings.ChainStrengthWarning'>, 'message': 'Some quadratic biases are stronger than the given chain strength', 'level': 30, 'data': {'source_interactions': [('T56', 'T41'), ('T53', 'T41'), ('T53', 'T56'), ('T77', 'T56'), ('T77', 'T53'), ('T9', 'T41'), ('T9', 'T56'), ('T9', 'T53'), ('T9', 'T46'), ('T9', 'T77'), ('T9', 'T42'), ('T9', 'T58')]}}]"
8,8,"[21, 22, 58, 0, 44, 68, 17, 65, 16, 50]",[],0,[],[],0.0111108030787127,18,4.558383941650391,4.5331839716503906,0.1015100479125976,"{'qpu_sampling_time': 9440.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 53.86, 'qpu_access_time': 25199.97, 'qpu_access_overhead_time': 1167.03, 'qpu_programming_time': 15759.97, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 1915.0, 'post_processing_overhead_time': 1915.0}",c93cf906-bc9b-48d7-9b75-7a7ef49e8193,"{'embedding': {'T22': (3849, 1670), 'T21': (3923, 3924), 'T58': (1714, 3834), 'T0': (1820,), 'T44': (3909, 3908), 'T68': (1729, 3819), 'T17': (1805,), 'T65': (1655, 3879), 'T16': (3894, 1790), 'T50': (1699, 3864)}, 'chain_break_method': 'majority_vote', 'embedding_parameters': {}, 'chain_strength': 0.010671148543624782}","[{'type': <class 'dwave.system.warnings.ChainStrengthWarning'>, 'message': 'Some quadratic biases are stronger than the given chain strength', 'level': 30, 'data': {'source_interactions': [('T22', 'T21'), ('T0', 'T21'), ('T0', 'T22'), ('T68', 'T21'), ('T68', 'T22'), ('T68', 'T0'), ('T17', 'T21'), ('T17', 'T22'), ('T17', 'T0'), ('T17', 'T68'), ('T65', 'T21'), ('T65', 'T22'), ('T65', 'T0'), ('T65', 'T17'), ('T16', 'T21'), ('T16', 'T22'), ('T16', 'T0'), ('T16', 'T68'), ('T16', 'T17'), ('T16', 'T65')]}}]"
9,9,"[27, 42, 64, 63, 0, 30, 28, 20, 52, 61]",[30],1,[475631.0],[0.6],0.0141110608028916,16,3.6451051235198975,3.6179375535198974,0.092128038406372,"{'qpu_sampling_time': 11408.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 73.54, 'qpu_access_time': 27167.57, 'qpu_access_overhead_time': 895.43, 'qpu_programming_time': 15759.57, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 1964.0, 'post_processing_overhead_time': 1964.0}",b0683bf1-3923-4e17-a1f0-544aa3c86ba7,"{'embedding': {'T42': (769,), 'T27': (709, 3783), 'T64': (3738, 844), 'T63': (3768,), 'T0': (724, 3633), 'T30': (3648, 739), 'T28': (3753,), 'T20': (754,), 'T52': (3798, 694), 'T61': (859, 3723)}, 'chain_break_method': 'majority_vote', 'embedding_parameters': {}, 'chain_strength': 0.007438699902119555}","[{'type': <class 'dwave.system.warnings.ChainStrengthWarning'>, 'message': 'Some quadratic biases are stronger than the given chain strength', 'level': 30, 'data': {'source_interactions': [('T30', 'T27'), ('T30', 'T42'), ('T30', 'T64'), ('T30', 'T0'), ('T28', 'T30'), ('T20', 'T30'), ('T52', 'T30'), ('T61', 'T30')]}}]"
